GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Jacoco_Thesis,dev,OnlineShoppingSystem,41,214,5,17,15,41,4,14,1,6
Jacoco_Thesis,dev,OnlineShoppingSystem.Product,0,18,0,0,0,6,0,3,0,3
